run,block,distance,speed,category,category_start_id,image_id,trial_in_run,trial,category_id,start_id,target_id,category_target_id,direction,speed_cue_dur,blink_dur,sample_dur,feedback_dur,iti_dur,probe_dur,buffer_dur,ts,trial_dur,subject,session
3,4,16,2.0,face,2,face_2,28,100,1,2,18,2,1,9.0,2500,1000,1000,2181.3132418297223,0,1084.9398101265676,8000.0,15775.25305195629,0,0
3,4,16,2.0,tool,2,tool_2,29,101,4,8,6,2,1,9.0,2500,1000,1000,2417.9146212455,0,1129.795165824481,8000.0,16056.70978706998,0,0
3,4,17,2.0,shapes,2,shapes_2,30,102,8,16,15,1,1,9.0,2500,1000,1000,2946.03576474566,0,1202.104459586598,8500.0,17157.14022433226,0,0
3,4,15,2.0,food,1,food_1,31,103,6,11,8,2,1,9.0,2500,1000,1000,2604.141018007542,0,1363.5564014794033,7500.0,15976.697419486945,0,0
3,4,17,2.0,house,2,house_2,32,104,2,4,3,1,1,9.0,2500,1000,1000,2278.349549026213,0,1185.0320184248321,8500.0,16472.381567451044,0,0
3,4,12,2.0,animals,2,animals_2,33,105,9,18,12,2,1,9.0,2500,1000,1000,2737.7937899968515,0,1369.9818262429026,6000.0,14616.775616239753,0,0
3,4,13,2.0,hands,2,hands_2,34,106,7,14,9,1,1,9.0,2500,1000,1000,2015.3230658588866,0,1385.0536604807248,6500.0,14409.376726339611,0,0
3,4,14,2.0,leg,1,leg_1,35,107,3,5,1,1,1,9.0,2500,1000,1000,2722.61458846214,1000,1209.1262558919386,7000.0,16440.740844354077,0,0
3,4,12,2.0,object,1,object_1,36,108,5,9,3,1,1,9.0,2500,1000,1000,2461.5133188193195,0,1158.0384566046819,6000.0,14128.551775424,0,0
4,1,14,2.0,hands,2,hands_2,1,109,7,14,10,2,1,9.0,2500,1000,1000,2799.500906650627,0,1104.6869512332507,7000.0,15413.187857883877,0,0
4,1,17,2.0,face,2,face_2,2,110,1,2,1,1,1,9.0,2500,1000,1000,2695.982727911458,0,1355.3031886500974,8500.0,17060.285916561555,0,0
4,1,13,2.0,object,1,object_1,3,111,5,9,4,2,1,9.0,2500,1000,1000,2187.1674607827767,0,1029.9328363044817,6500.0,14226.100297087258,0,0
4,1,14,2.0,tool,1,tool_1,4,112,4,7,3,1,1,9.0,2500,1000,1000,2016.901000645867,0,1164.5797518166278,7000.0,14690.480752462494,0,0
4,1,13,2.0,animals,2,animals_2,5,113,9,18,13,1,1,9.0,2500,1000,1000,2474.8786263808097,0,1493.3917181583665,6500.0,14977.270344539176,0,0
4,1,15,2.0,leg,1,leg_1,6,114,3,5,2,2,1,9.0,2500,1000,1000,2376.3638131055927,0,1134.7528671161401,7500.0,15520.116680221732,0,0
4,1,12,2.0,food,2,food_2,7,115,6,12,6,2,1,9.0,2500,1000,1000,2562.926739435085,0,1048.5046610056545,6000.0,14120.431400440739,0,0
4,1,12,2.0,shapes,2,shapes_2,8,116,8,16,10,2,1,9.0,2500,1000,1000,2662.5598192628113,0,1273.7814128864584,6000.0,14445.341232149269,0,0
4,1,15,2.0,house,1,house_1,9,117,2,3,18,2,1,9.0,2500,1000,1000,2756.4579443271386,0,1111.7676178078505,7500.0,15877.225562134989,0,0
4,2,13,1.6,tool,2,tool_2,10,118,4,8,3,1,1,11.25,2500,1000,1000,2312.8751545510927,0,1617.020584820206,8125.0,16566.1457393713,0,0
