run,block,distance,speed,category,category_start_id,image_id,trial_in_run,trial,category_id,start_id,target_id,category_target_id,direction,speed_cue_dur,blink_dur,sample_dur,feedback_dur,iti_dur,probe_dur,buffer_dur,ts,trial_dur,visual,target_cat,target_cat_pos,start_cat,start_cat_pos,is_probe,probe_dist,probe_id,probe_cat,probe_cat_pos,probe_ts,option_cat,option_cat_pos,option_id,probe_correct_pos,probe_option_pos,subject,session
3,3,13,1.6,animal,1,animal_1,19,91,4,7,2,2,1,11.25,2500,1000,1000,2666.839339234755,1000,1454.2968353650638,8125.0,17757.38617459982,1,1,2,4,1,1,9,16,8,2,5625.0,9.0,1.0,17.0,-1,1.0,1,1
3,3,17,1.6,house,1,house_1,20,92,2,3,2,2,1,0.0,2500,1000,1000,2890.678641176545,0,1350.0912191282373,10625.0,19365.769860304783,1,1,2,2,1,0,0,0,0,0,0.0,,,,0,,1,1
3,3,14,1.6,object,2,object_2,21,93,7,14,10,2,1,0.0,2500,1000,1000,2398.456882838297,0,1570.2444858559484,8750.0,17218.701368694245,1,5,2,7,2,0,0,0,0,0,0.0,,,,0,,1,1
3,3,13,1.6,hand,1,hand_1,22,94,1,1,14,2,1,0.0,2500,1000,1000,2346.263764316092,0,1342.94949959559,8125.0,16314.213263911683,1,7,2,1,1,0,0,0,0,0,0.0,,,,0,,1,1
3,3,12,1.6,face,1,face_1,23,95,3,5,17,1,1,0.0,2500,1000,1000,2036.1092456732983,0,1684.4842291767666,7500.0,15720.593474850066,1,9,1,3,1,0,0,0,0,0,0.0,,,,0,,1,1
3,3,14,1.6,shape,1,shape_1,24,96,9,17,13,1,1,0.0,2500,1000,1000,2708.759020676534,0,1526.9550910473806,8750.0,17485.714111723915,1,7,1,9,1,0,0,0,0,0,0.0,,,,0,,1,1
3,3,15,1.6,leg,1,leg_1,25,97,6,11,8,2,1,0.0,2500,1000,1000,2233.7015667374403,0,1291.0350173681154,9375.0,17399.736584105554,1,4,2,6,1,0,0,0,0,0,0.0,,,,0,,1,1
3,3,12,1.6,food,2,food_2,26,98,8,16,10,2,1,0.0,2500,1000,1000,2951.7454091702216,1000,1614.815194784419,7500.0,17566.56060395464,1,5,2,8,2,1,7,5,3,1,4375.0,4.0,2.0,8.0,-1,1.0,1,1
3,3,15,1.6,tool,1,tool_1,27,99,5,9,6,2,1,0.0,2500,1000,1000,2893.547348480053,0,1280.7672632966476,9375.0,18049.314611776703,1,3,2,5,1,0,0,0,0,0,0.0,,,,0,,1,1
3,4,17,2.0,house,2,house_2,28,100,2,4,3,1,1,9.0,2500,1000,1000,2723.8419174645196,0,1192.6723754242669,8500.0,16925.514292888787,1,2,1,2,2,0,0,0,0,0,0.0,,,,0,,1,1
